Vendor Name	ENFOUR, INC.
Start Date	09/29/2024
End Date	11/02/2024
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
10/18/2024	10/18/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	1F	AE	1	56.66	56.66	AED	69.990	AED	S				
10/13/2024	10/21/2024	1518508120	1518384123	Korean Dictionary access		IAY	AE	1	1.61	1.61	AED	1.990	AED	S				
10/12/2024	10/14/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/18/2024	10/29/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
09/29/2024	09/30/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/01/2024	10/02/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/24/2024	10/24/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/23/2024	10/24/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/19/2024	10/20/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
11/01/2024	11/02/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	AU	1	6.17	6.17	AUD	7.990	AUD	S				
10/27/2024	10/28/2024	298224563	OX_AOD	Australian Oxford Dictionary	Enfour, Inc.	F1	AU	1	15.45	15.45	AUD	19.990	AUD	S				
10/21/2024	10/22/2024	298224563	OX_AOD	Australian Oxford Dictionary	Enfour, Inc.	F1	AU	1	15.45	15.45	AUD	19.990	AUD	S				
10/17/2024	10/17/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	1	23.17	23.17	AUD	29.990	AUD	S				
10/13/2024	10/14/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	1	23.17	23.17	AUD	29.990	AUD	S				
10/14/2024	10/15/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	-1	23.17	-23.17	AUD	-29.990	AUD	R				
10/16/2024	10/17/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	1	23.17	23.17	AUD	29.990	AUD	S				
10/12/2024	10/13/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	1	23.17	23.17	AUD	29.990	AUD	S				
10/15/2024	10/16/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	AU	1	23.17	23.17	AUD	29.990	AUD	S				
10/27/2024	11/01/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	AU	1	2.31	2.31	AUD	2.990	AUD	S				
10/17/2024	10/28/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	AU	1	2.31	2.31	AUD	2.990	AUD	S				
10/20/2024	10/21/2024	316182014	N4_UD_CT	Companion Thesaurus	Enfour, Inc.	F1	AU	1	2.31	2.31	AUD	2.990	AUD	S				
10/23/2024	10/24/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	AU	1	17.77	17.77	AUD	22.990	AUD	S				
10/22/2024	10/23/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	1F	AU	1	17.77	17.77	AUD	22.990	AUD	S				
10/21/2024	10/22/2024	394337484	OX_ODE	Oxford Dictionary of English.	Enfour, Inc.	F1	AU	1	17.77	17.77	AUD	22.990	AUD	S				
09/29/2024	10/10/2024	1464887377	jp.co.enfour.ldoce.lat	Longman Activator Thesaurus		IA1	AU	1	10.04	10.04	AUD	12.990	AUD	S				
10/05/2024	10/16/2024	1518508120	1518384123	Korean Dictionary access		IAY	AU	1	0.77	0.77	AUD	0.990	AUD	S				
10/19/2024	10/19/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	CA	1	5.93	5.93	CAD	6.990	CAD	S			ON	
